iter	Passed	Remaining
277	644	1672
278	646	1669
279	649	1669
280	651	1666
281	652	1662
282	656	1662
283	657	1658
284	659	1654
285	660	1650
286	664	1650
287	667	1649
288	671	1651
289	673	1649
290	675	1646
291	678	1645
292	682	1646
293	686	1649
294	688	1646
295	690	1643
296	693	1640
297	694	1637
298	696	1633
299	698	1629
300	701	1628
301	702	1624
302	704	1620
303	705	1615
304	707	1611
305	708	1607
306	710	1602
307	711	1598
308	713	1595
309	715	1592
310	717	1588
311	718	1584
312	719	1579
313	721	1575
314	722	1571
315	724	1567
316	725	1563
317	727	1560
318	730	1558
319	732	1555
320	733	1552
321	735	1548
322	737	1545
323	738	1541
324	740	1537
325	745	1542
326	749	1543
327	753	1543
328	755	1540
329	763	1549
330	765	1546
331	767	1544
332	769	1541
333	771	1538
334	776	1540
335	778	1538
336	780	1535
337	782	1532
338	785	1530
339	786	1527
340	789	1525
341	791	1523
342	793	1519
343	794	1515
344	796	1511
345	797	1507
346	799	1503
347	800	1499
348	801	1495
349	805	1495
350	806	1491
351	807	1487
352	809	1483
353	810	1479
354	812	1475
355	813	1471
356	815	1468
357	816	1464
358	819	1463
359	821	1460
360	822	1456
361	824	1452
362	825	1448
363	827	1445
364	828	1441
365	829	1437
366	831	1434
367	836	1435
368	838	1433
369	840	1430
370	842	1427
371	843	1424
372	845	1420
373	846	1417
374	850	1417
375	851	1413
376	853	1410
377	854	1406
378	856	1402
379	857	1399
380	859	1395
381	860	1392
382	862	1389
383	865	1389
384	867	1385
385	868	1382
386	870	1378
387	871	1375
388	873	1371
389	875	1368
390	877	1366
391	881	1366
392	883	1364
393	885	1361
394	887	1359
395	889	1356
396	891	1353
397	892	1350
398	896	1350
399	898	1347
400	900	1345
401	902	1342
402	904	1340
403	907	1338
404	911	1338
405	913	1336
406	915	1334
407	918	1332
408	920	1330
409	922	1328
410	926	1327
411	927	1323
412	929	1320
413	930	1317
414	932	1314
415	934	1311
416	935	1308
417	937	1305
418	940	1304
419	943	1302
420	946	1301
421	948	1299
422	951	1298
423	956	1299
424	959	1298
425	961	1295
426	964	1293
427	966	1292
428	970	1291
429	973	1290
430	976	1288
431	978	1287
432	980	1284
433	982	1281
434	985	1279
435	988	1278
436	990	1276
437	992	1273
438	994	1270
439	996	1267
440	998	1265
441	1002	1265
442	1004	1262
443	1005	1259
444	1008	1257
445	1011	1255
446	1014	1254
447	1016	1252
448	1017	1248
449	1019	1245
450	1020	1242
451	1021	1239
452	1023	1235
